animal_name,eggs,aquatic,predator,legs,tail,animal_type
aardvark,No,No,Yes,4,No,Mammal
antelope,No,No,No,4,Yes,Mammal
bear,No,No,Yes,4,No,Mammal
boar,No,No,Yes,4,Yes,Mammal
buffalo,No,No,No,4,Yes,Mammal
calf,No,No,No,4,Yes,Mammal
cavy,No,No,No,4,No,Mammal
cheetah,No,No,Yes,4,Yes,Mammal
clam,Yes,No,Yes,0,No,Invertebrate
crab,Yes,Yes,Yes,4,No,Invertebrate
crayfish,Yes,Yes,Yes,6,No,Invertebrate
deer,No,No,No,4,Yes,Mammal
dolphin,No,Yes,Yes,0,Yes,Mammal
elephant,No,No,No,4,Yes,Mammal
fruitbat,No,No,No,2,Yes,Mammal
giraffe,No,No,No,4,Yes,Mammal
Mammal,No,No,Yes,2,No,Mammal
goat,No,No,No,4,Yes,Mammal
gorilla,No,No,No,2,No,Mammal
hamster,No,No,No,4,Yes,Mammal
hare,No,No,No,4,Yes,Mammal
leopard,No,No,Yes,4,Yes,Mammal
lion,No,No,Yes,4,Yes,Mammal
lobster,Yes,Yes,Yes,6,No,Invertebrate
lynx,No,No,Yes,4,Yes,Mammal
mink,No,Yes,Yes,4,Yes,Mammal
mole,No,No,Yes,4,Yes,Mammal
mongoose,No,No,Yes,4,Yes,Mammal
octopus,Yes,Yes,Yes,8,No,Invertebrate
opossum,No,No,Yes,4,Yes,Mammal
oryx,No,No,No,4,Yes,Mammal
platypus,Yes,Yes,Yes,4,Yes,Mammal
polecat,No,No,Yes,4,Yes,Mammal
pony,No,No,No,4,Yes,Mammal
porpoise,No,Yes,Yes,0,Yes,Mammal
puma,No,No,Yes,4,Yes,Mammal
pussycat,No,No,Yes,4,Yes,Mammal
raccoon,No,No,Yes,4,Yes,Mammal
reindeer,No,No,No,4,Yes,Mammal
scorpion,No,No,Yes,8,Yes,Invertebrate
seal,No,Yes,Yes,0,No,Mammal
sealion,No,Yes,Yes,2,Yes,Mammal
seawasp,Yes,Yes,Yes,0,No,Invertebrate
slug,Yes,No,No,0,No,Invertebrate
squirrel,No,No,No,2,Yes,Mammal
starfish,Yes,Yes,Yes,5,No,Invertebrate
vampire,No,No,No,2,Yes,Mammal
vole,No,No,No,4,Yes,Mammal
wallaby,No,No,No,2,Yes,Mammal
wolf,No,No,Yes,4,Yes,Mammal
worm,Yes,No,No,0,No,Invertebrate
