Management Risk,Financial Flexibility,Credibility,Competitiveness,Bankruptcy
Negative,Average,Positive,Positive,No
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Positive,No
Negative,Negative,Positive,Positive,No
Negative,Negative,Positive,Positive,No
Positive,Negative,Negative,Negative,Yes
Positive,Negative,Negative,Negative,Yes
Positive,Positive,Positive,Positive,No
Positive,Positive,Positive,Positive,No
Positive,Positive,Positive,Positive,No
Negative,Average,Negative,Negative,Yes
Negative,Average,Negative,Negative,Yes
Negative,Average,Negative,Negative,Yes
Negative,Average,Negative,Negative,Yes
Negative,Average,Positive,Positive,No
Negative,Average,Positive,Positive,No
Negative,Average,Positive,Positive,No
Negative,Average,Positive,Positive,No
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Positive,Negative,Yes
Negative,Negative,Positive,Negative,Yes
Negative,Negative,Positive,Negative,Yes
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Positive,Negative,Negative,Negative,Yes
Positive,Negative,Negative,Negative,Yes
Positive,Negative,Negative,Negative,Yes
Positive,Negative,Negative,Negative,Yes
Positive,Negative,Positive,Positive,No
Positive,Negative,Positive,Positive,No
Positive,Positive,Positive,Positive,No
Positive,Positive,Positive,Positive,No
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Negative,Negative,Yes
Negative,Negative,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,Yes
Negative,Positive,Positive,Positive,No
Negative,Positive,Positive,Positive,No
Positive,Average,Positive,Positive,No
Positive,Average,Positive,Positive,No
Positive,Average,Positive,Positive,No
Positive,Average,Positive,Positive,No
Positive,Average,Positive,Positive,Yes
Positive,Average,Positive,Positive,No
Positive,Negative,Negative,Negative,Yes
Positive,Positive,Positive,Positive,No
Positive,Positive,Positive,Positive,No
